NAME,B19049_001E_Median_household_income_in_the_past_12_months_(in_2017_inflation-adjusted_dollars)_--_Total,B19049_002E_Median_household_income_in_the_past_12_months_(in_2017_inflation-adjusted_dollars)_--_Householder_under_25_years,B19049_003E_Median_household_income_in_the_past_12_months_(in_2017_inflation-adjusted_dollars)_--_Householder_25_to_44_years,B19049_004E_Median_household_income_in_the_past_12_months_(in_2017_inflation-adjusted_dollars)_--_Householder_45_to_64_years,B19049_005E_Median_household_income_in_the_past_12_months_(in_2017_inflation-adjusted_dollars)_--_Householder_65_years_and_over,state,county,tract
Census Tract 2007.02,27328,-666666666,58214,41202,18478,24,510,200702
Census Tract 2301,61563,49025,96500,35913,-666666666,24,510,230100
Census Tract 2502.05,40453,-666666666,32089,61406,18977,24,510,250205
Census Tract 2704.02,72759,-666666666,82831,86172,52542,24,510,270402
Census Tract 2504.02,42163,2499,29803,57632,28958,24,510,250402
Census Tract 2605.01,53911,-666666666,58098,58750,31196,24,510,260501
Census Tract 2611,111458,49167,143214,50781,32125,24,510,261100
Census Tract 2705.02,64375,-666666666,67500,67375,54583,24,510,270502
Census Tract 1606,33586,-666666666,34219,38950,31111,24,510,160600
Census Tract 2401,119353,104375,121190,136875,38047,24,510,240100
Census Tract 2606.05,37326,-666666666,40625,46346,31161,24,510,260605
Census Tract 2715.03,71848,-666666666,62625,90282,54808,24,510,271503
Census Tract 1002,14452,-666666666,-666666666,9901,13542,24,510,100200
Census Tract 1508,35095,-666666666,30850,37188,41667,24,510,150800
Census Tract 1703,22574,-666666666,35859,47000,15307,24,510,170300
Census Tract 2404,102107,100625,121351,92589,50833,24,510,240400
Census Tract 2709.02,62946,-666666666,74853,60500,44085,24,510,270902
Census Tract 1901,20000,15817,28229,16333,13750,24,510,190100
Census Tract 1902,36875,-666666666,31111,41979,-666666666,24,510,190200
Census Tract 2201,69245,-666666666,96813,113929,25114,24,510,220100
Census Tract 2303,103889,123750,113500,37778,71250,24,510,230300
Census Tract 2502.07,30688,-666666666,32256,24722,37054,24,510,250207
Census Tract 2503.03,33833,28750,45152,28333,37604,24,510,250303
Census Tract 2602.02,38347,38466,39271,39324,27768,24,510,260202
Census Tract 2603.02,31097,-666666666,-666666666,35852,19424,24,510,260302
Baltimore City,46641,27108,56241,49446,32574,24,510,10000
Baltimore City,46641,27108,56241,49446,32574,24,510,10000
