time_start,time_end,geometry,satellite
2023-09-09,2023-09-09,"POLYGON ((165.96885 -20.26699, 165.54244 -21.92419, 163.17812 -21.36654, 163.62861 -19.71715, 165.96885 -20.26699))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((-15.80175 3.91657, -16.70106 8.25655, -18.97237 19.26229, -16.61616 19.68757, -14.45955 8.70864, -13.58091 4.38055, -15.80175 3.91657))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((159.43633 56.16991, 157.09427 49.25352, 153.66778 49.64458, 155.41727 56.57352, 159.43633 56.16991))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((145.21184 -3.31474, 143.86848 -9.42038, 140.59289 -22.92973, 138.21279 -22.36716, 141.63228 -8.91428, 142.99738 -2.82914, 145.21184 -3.31474))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((138.54849 -30.1973, 136.53891 -36.44071, 133.84478 -35.79358, 136.02529 -29.59421, 138.54849 -30.1973))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((124.3133 14.8547, 122.10435 4.15097, 118.86504 -10.82208, 116.62026 -10.31092, 119.88277 4.61428, 122.01448 15.29015, 124.3133 14.8547))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((-66.35211 9.61302, -67.95286 17.37941, -68.41825 19.61969, -66.05665 20.04418, -65.62317 17.80894, -64.10144 10.06156, -66.35211 9.61302))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((-71.2627 32.77014, -71.89017 35.48208, -76.89306 53.47221, -77.90109 56.25282, -73.87347 56.65671, -73.13439 53.86909, -69.14936 35.87831, -68.60979 33.17004, -71.2627 32.77014))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((105.80932 42.45103, 104.16879 35.83356, 100.22221 17.73231, 99.14425 12.50742, 96.86958 12.9486, 97.88777 18.16104, 101.41562 36.22936, 102.7809 42.84118, 105.80932 42.45103))",Sentinel 1
2023-09-09,2023-09-09,"POLYGON ((-71.85352 -53.4875, -73.86649 -50.01228, -77.35861 -42.54803, -74.44187 -41.84553, -70.57843 -49.21699, -68.344 -52.63496, -71.85352 -53.4875))",Sentinel 1
2023-09-10,2023-09-10,"POLYGON ((-90.97156 9.29139, -93.58923 21.93754, -97.67649 40.01901, -98.33072 42.57051, -95.29655 42.96062, -94.75992 40.41065, -91.18983 22.35704, -88.72318 9.74077, -90.97156 9.29139))",Sentinel 1
2023-09-10,2023-09-10,"POLYGON ((73.3907 7.32365, 73.04544 5.65525, 70.81791 6.11437, 71.15475 7.77823, 73.3907 7.32365))",Sentinel 1
2023-09-10,2023-09-10,"POLYGON ((-120.41348 31.79686, -123.5451 44.54779, -129.97811 62.43983, -135.42479 70.5958, -128.71175 71.12358, -125.14363 62.873, -120.4088 44.93736, -117.78939 32.19822, -120.41348 31.79686))",Sentinel 1
2023-09-10,2023-09-10,"POLYGON ((57.18809 45.24058, 57.06543 44.79521, 52.75139 26.74085, 52.0199 23.3199, 49.59547 23.73654, 50.25653 27.15083, 53.91548 45.18474, 54.01335 45.6301, 57.18809 45.24058))",Sentinel 1
2023-09-10,2023-09-10,"POLYGON ((49.6649 11.98294, 48.97039 8.60963, 46.81607 -1.69579, 44.6032 -1.21525, 46.72664 9.06079, 47.39504 12.42543, 49.6649 11.98294))",Sentinel 1
2023-09-10,2023-09-10,"POLYGON ((35.38054 54.46681, 31.19163 40.26691, 28.84528 30.29873, 26.26286 30.70247, 28.26419 40.65836, 31.53073 54.86585, 35.38054 54.46681))",Sentinel 1
2023-09-10,2023-09-10,"POLYGON ((25.3887 13.97262, 23.94533 6.96586, 21.71135 7.4214, 23.09946 14.4102, 25.3887 13.97262))",Sentinel 1
2023-09-10,2023-09-10,"POLYGON ((23.46118 4.63016, 23.33989 4.04729, 20.60031 -8.70621, 18.36796 -8.20263, 21.11865 4.51089, 21.23786 5.09212, 23.46118 4.63016))",Sentinel 1
2023-09-10,2023-09-10,"POLYGON ((23.46292 74.2388, 20.28497 71.42853, 10.43093 53.71837, 5.40157 35.73038, 4.37979 31.28446, 1.77025 31.68662, 2.65203 36.1263, 6.65009 54.11574, 13.28669 71.97261, 15.28467 74.85442, 23.46292 74.2388))",Sentinel 1
2023-09-10,2023-09-10,"POLYGON ((176.69766 -19.63766, 176.20221 -17.64664, 178.50918 -17.1084, 179.02949 -19.09065, 176.69766 -19.63766))",Sentinel 1
2023-09-10,2023-09-10,"POLYGON ((159.4908 54.01055, 157.95278 58.06754, 154.86437 64.48935, 160.05627 64.93829, 162.18305 58.47776, 163.29805 54.40856, 159.4908 54.01055))",Sentinel 1
2023-09-10,2023-09-10,"POLYGON ((149.97903 -11.15293, 149.64176 -9.66909, 148.56904 -4.82492, 150.78663 -4.33444, 151.87948 -9.16208, 152.22613 -10.64052, 149.97903 -11.15293))",Sentinel 1
2023-09-10,2023-09-10,"POLYGON ((-50.2228 6.4293, -53.66388 -9.6273, -56.87433 -22.85972, -59.2533 -22.2975, -55.90127 -9.12046, -52.454 6.8863, -50.2228 6.4293))",Sentinel 1
2023-09-10,2023-09-10,"POLYGON ((-60.31363 -34.56778, -64.5001 -45.46737, -68.08424 -52.39937, -71.52042 -51.56607, -67.54702 -44.73267, -62.95114 -33.93497, -60.31363 -34.56778))",Sentinel 1
2023-09-10,2023-09-10,"POLYGON ((125.06313 -10.1424, 123.94638 -5.11452, 123.8807 -4.81287, 126.09826 -4.32242, 126.16473 -4.62309, 127.30368 -9.63368, 125.06313 -10.1424))",Sentinel 1
2023-09-10,2023-09-10,"POLYGON ((117.92357 23.70286, 116.30454 31.14488, 112.73044 45.62074, 115.92668 46.01028, 118.91008 31.54726, 120.35522 24.11873, 117.92357 23.70286))",Sentinel 1
2023-09-10,2023-09-10,"POLYGON ((-71.59732 22.42693, -71.66972 22.08311, -72.57203 17.76012, -74.90685 18.18878, -74.07169 22.50231, -74.00538 22.84541, -71.59732 22.42693))",Sentinel 1
2023-09-10,2023-09-10,"POLYGON ((-73.87902 11.42235, -75.42456 3.94361, -78.34041 -9.5866, -80.57756 -9.0799, -77.64545 4.4075, -76.14396 11.86626, -73.87902 11.42235))",Sentinel 1
2023-09-10,2023-09-10,"POLYGON ((99.04771 -4.13425, 98.28097 -0.55587, 96.1767 9.54252, 98.42687 9.99125, 100.49382 -0.07881, 101.26371 -3.64601, 99.04771 -4.13425))",Sentinel 1
2023-09-10,2023-09-10,"POLYGON ((95.11207 14.71376, 94.5185 17.58666, 90.57552 35.68846, 86.88176 49.59718, 90.33232 49.98854, 93.32351 36.08444, 96.85096 18.01572, 97.40931 15.14955, 95.11207 14.71376))",Sentinel 1
2023-09-10,2023-09-10,"POLYGON ((-94.52259 30.57137, -94.89066 28.90806, -97.43698 29.31415, -97.11238 30.97466, -94.52259 30.57137))",Sentinel 1
2023-09-10,2023-09-10,"POLYGON ((-95.398 26.57831, -96.60063 20.91518, -98.98276 21.33686, -97.88921 26.98859, -95.398 26.57831))",Sentinel 1
2023-09-10,2023-09-10,"POLYGON ((68.44088 24.22652, 64.78603 40.22506, 63.11951 46.47114, 66.36569 46.86079, 67.71156 40.61654, 70.88272 24.64134, 68.44088 24.22652))",Sentinel 1
